AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.77777777777777, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.00000000000001, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 97.77777777777779, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.22222222222221, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.22222222222221, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.44444444444446, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.8888888888889, DeathCount: 0.0, EscapeeCount: 23.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 99.11111111111111, DeathCount: 0.0, EscapeeCount: 24.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 99.11111111111111, DeathCount: 0.0, EscapeeCount: 24.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.8888888888889, DeathCount: 0.0, EscapeeCount: 25.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 99.11111111111109, DeathCount: 0.0, EscapeeCount: 25.0
AvgAltruism: 46.15555555555556, AvgAreaKnowledge: 36.91111111111111, AvgIndependence: 11.888888888888888, AvgMobility: 98.8, AvgPanic: 13.355555555555556, AvgPatience: 98.88888888888889, DeathCount: 0.0, EscapeeCount: 25.0
